Response.ID,Duration,Gender,Age,Age.cohort,Regional.Code,Number.Inhabitants,Text.CarbonTaxPolicy,Perceived.CarbonTaxKnowledge,Knowledge.Test1,Knowledge.Test2,Knowledge.Test3,Knowledge.Test4,Knowledge.Test5,Knowledge.Test6,Experiment.Group,CT.Effectiveness,CT.Fairness,CT.Object,CT.PersonalCost,CT.LowIncomeEffect,CT.TrustInPoliticians,CT.Acceptability,CT.Objective,CT.Effectiveness_Rev1,CT.Effectiveness_Rev2,CT.Effectiveness_Rev3,CT.Effectiveness_Rev4,CT.Effectiveness_Rev5,CT.Fairness_Rev1,CT.Fairness_Rev2,CT.Fairness_Rev3,CT.Fairness_Rev4,CT.Fairness_Rev5,CT.PersonalCost_Rev1,CT.PersonalCost_Rev2,CT.PersonalCost_Rev3,CT.PersonalCost_Rev4,CT.PersonalCost_Rev5,CT.LowIncomeEffect_Rev1,CT.LowIncomeEffect_Rev2,CT.LowIncomeEffect_Rev3,CT.LowIncomeEffect_Rev4,CT.LowIncomeEffect_Rev5,CT.Acceptability_Rev1,CT.Acceptability_Rev2,CT.Acceptability_Rev3,CT.Acceptability_Rev4,CT.Acceptability_Rev5,Allocation_Climate,Allocation_LowIncome,Allocation_Universal,EffectivenessOrFairness,Text.CTFairness,NumberOfPeers,NumberOfPeersClimChange,ExpectedSpanishAcceptability,InfoSpanishAcceptability,AcceptabilityAfterInfo,HouseholdSize,MonthlyIncome,Education,ClimateConcern,PoliticalView,PoliticalParty,CarUse,DrivingTime
342989491,995,1,57,6,10,4,"Debe implantarse, no obstante, deberian emplearse esfuerzos suficientes para no perjudicar a los consumidores y proveer de ayudas suficientes para el cambio de este tipo de combustible, esto es, ayudas suficientes para el cambio de vehiculos o motores para no perjudicar a los usuarios que adquirieron estos vehiculos sin saber de este nuevo impuesto",2,1,1,2,2,2,2,1,3,5,1,1,1,2,4,2,2,4,3,4,4,3,4,3,4,4,3,4,3,4,4,4,4,3,4,4,3,4,3,4,4,50,0,50,3,"Resarcir a los que utilizan este combustible y tienen menos ingresos, no obstante son los que menos consumen, por lo que no seria aplicable",15,10,50,2,4,2,4,4,5,6,3,6,2
343107257,987,1,65,7,10,2,Pienso que actualmente la presion fiscal sobre el ciudadano es bastante alta. Pero tambien es necesario tomar medidas contra el cambio climatico. Mi propuesta seria poner un impuesto al carbono pero sin subir la presion fiscal. Es decir reduciendo o anulando otros impuestos menos importantes. Es decir cambiando prioridades.,1,3,3,3,3,3,3,2,4,4,3,2,2,4,4,2,2,2,2,4,2,4,4,4,4,4,3,3,3,3,3,4,3,4,4,4,4,4,4,4,4,20,50,30,4,La justicia seria el redistribuir los impuestos beneficiando a las capas mas humildes de poblacion.,25,3,10,1,4,2,4,2,2,4,4,5,2
342981253,389,2,23,2,9,2,no opino,1,3,3,3,3,3,3,2,3,2,1,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,20,50,30,3,justicia para mi no se lo que es,3,1,0,1,4,3,7,2,3,11,1,1,1
343117760,1188,1,69,7,2,1,"El impuesto no es una buena solucion, ya que seguira contaminando el poderoso y perjudicara al debil. Hay que buscar una alternativa y potenciarla",1,1,2,2,1,2,2,2,4,2,3,2,1,1,3,2,2,4,4,2,4,2,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,5,4,3,4,70,20,10,3,Mantener el planeta tierra sostenible y equilibrado para las siguientes generaciones y un reparto mas justo de la riqueza,20,2,40,2,2,2,6,5,4,8,2,5,3
343106979,953,1,68,7,4,4,"Esto encarecera el precio de todos los combustibles. Mejor seria que principalmente los vehiculos fueran a base de agua, dulce o salada que ya existen, con ello se conseguiria que se generase vapor de agua contribuyendo a que haya lluvias en provincias que no llueve. Entre otras cosas.",1,1,3,2,3,2,2,2,3,2,3,1,1,2,1,1,4,3,4,5,3,3,3,4,5,3,3,3,3,5,3,5,3,5,4,3,4,3,4,4,3,50,30,20,3,"Que cada uno tenga lo que se ha ganado,",40,2,0,2,2,2,2,4,2,6,5,5,2
343111909,726,1,22,2,10,2,"Un impuesto no vale para nada , ya que la gente lo paga y sigue contaminando",2,1,3,2,1,2,2,2,2,2,1,1,1,1,1,1,2,5,5,4,4,2,4,5,3,3,4,5,5,4,4,5,2,4,4,4,3,4,5,4,5,50,25,25,2,El arte de satisfacer a toda la poblacion,50,0,2,1,2,4,2,6,3,8,5,3,1
342726046,2354,2,61,6,9,5,"Estaria bien si el dinero recaudado se utilizara luego en adaptar las ciudades y el transporte publico fuera NO CONTAMINANTE. Hay que evitar !!! Cuando el da?o esta presente, es mucho mas dificil arreglar los problemas",2,1,3,3,1,2,2,1,4,5,1,2,2,1,4,1,1,5,4,2,2,2,5,4,3,2,3,5,2,1,2,4,4,4,2,2,2,5,4,2,2,75,25,0,3,"Justicia no solamente es que sean retornados estos impuestos, como compensacion, a las clases sociales con problemas economicos. Que acostumbran a ser las que mas contaminan, por no poder acceder a coches electricos e instalaciones que generen menos contaminacion. Justicia es crear y en este caso mantener unas ciudades limpias de contaminantes, TODOS VIVIMOS EN ELLAS.",75,11,70,1,5,4,4,6,5,3,7,1,1
342906113,1036,1,49,5,13,4,"Como siempre, parece que la solucion pasa por pagar mas por todo en vez de intentar buscar otras soluciones que no influyan al pueblo...",1,1,3,3,3,3,2,2,3,2,1,2,2,1,3,3,3,5,4,4,4,3,4,4,4,4,3,3,3,3,3,4,5,5,4,4,4,5,4,4,4,60,0,40,3,"Que se trate a todos por igual, pero no obviando quien tiene mas que quien va mas justo.",50,5,50,2,5,4,3,4,3,7,5,5,2
342918166,1022,1,82,7,10,5,"Los impuestos siempre son malos y no logran su proposito, pero ayudar a que desaparezca el uso del carbono es prioritario aunque imposible por la degradacion politica existente.",2,1,1,2,2,2,2,1,2,2,4,2,1,1,1,1,4,5,4,1,2,5,4,4,1,3,3,4,4,3,3,5,4,5,1,1,2,2,2,2,2,30,70,0,4,Justicia es no robar licitamente a los necesitados para cubrir la vida de los politicos corruptos,40,0,30,1,2,2,7,6,4,9,5,5,2
342890236,1092,1,45,5,1,2,Lo unico que hace el gobierno cuando hay un problema de gran envergadura es poner impuestos. Esto es lo mas facil. Asi se consiguen resultados exiguos que bien maquillados parecen un exito cuando el exito es el dinero que sisan al contribuyente. Lamentable me parece que en lugar de concienciar y sobre todo educar a la poblacion en el respeto al medio ambiente y a los demas se dediquen a pedir dinero.  Pagariamos con gusto si el dinero se usara en implementar politicas de educacion y respeto y no politicas de susto en las que viene el lobo y te quita lo que tienes.,1,1,2,2,1,2,2,1,1,1,4,1,1,1,1,1,2,4,3,3,3,2,4,2,1,2,3,5,3,4,4,4,5,4,2,4,2,4,2,2,2,100,0,0,3,"Justicia es equidad, dar a cada uno lo que le pertenece.",20,3,15,2,4,4,4,6,5,11,17,5,2
342967044,806,1,57,6,8,3,Todas las medidas para eliminar las emisiones contaminantes son bienvenidas. Hay que revertir el cambio climatico y conseguir un planeta limpio y saludable.,2,1,2,2,1,2,2,2,3,2,1,2,1,2,4,2,4,5,4,2,3,4,5,4,2,3,3,5,4,3,4,5,4,4,3,3,4,5,4,3,3,70,30,0,2,Proceder correctamente con el medio ambiente y la calidad de vida.,20,15,60,2,4,4,4,6,3,2,4,6,3
342971187,1682,1,47,5,1,4,"ME PARECE BIEN, A VER SI SE DESTINA A INVESTIGAR IMPLANTAR ENERGIAS RENOVABLES",1,1,3,2,3,2,2,2,4,5,1,2,2,1,4,1,3,4,4,3,4,3,4,4,3,4,3,4,3,3,4,4,4,4,4,4,4,5,4,4,4,34,33,33,3,QUE NO SALGA NADIE PERJUDICADO,100,10,20,1,4,3,4,6,5,5,3,6,3
343084356,558,2,27,3,1,5,Que es una medida buena pero hay medidas mas eficaces que no se atreven a tomar como las referidas a grandes fabricas y sus emisiones,1,1,2,2,1,2,1,2,2,5,1,3,2,2,4,2,2,4,4,2,4,4,5,4,4,4,4,5,4,5,5,5,4,5,4,4,4,5,4,5,5,70,10,20,3,Devolver a cada uno lo que le pertenece y que todo el mundo gane,10,2,40,1,2,2,3,6,5,7,3,6,3
342970906,468,2,23,2,9,5,Es importante para concienciar a la gente de la contaminacion generada por el carbono.,2,3,3,2,1,3,3,1,4,5,1,5,5,2,5,2,3,5,4,1,1,3,5,4,1,1,1,5,4,1,1,5,5,5,4,4,4,5,4,1,1,70,25,5,3,Es justo devolver el dinero a la gente.,50,5,50,1,5,3,5,6,5,4,1,4,1
342988448,602,2,45,5,9,4,Me parece bien. Puede que ayude a reducir las emisiones de CO2,1,3,3,2,3,3,2,2,5,5,3,2,2,3,5,2,1,5,2,3,3,1,5,1,4,4,2,5,2,4,4,4,5,4,4,4,1,5,1,3,3,90,0,10,2,"Considero injusto utilizar un impuesto con un objetivo de indole ecologica para compensar a los hogares con menores ingresos, este impuesto debe utilizarse para potenciar proyectos de proteccion del medio ambiente",50,3,50,2,5,3,3,6,5,8,3,6,2
342904482,1377,1,46,5,9,5,No se muy bien si el impuesto conseguiria la reduccion de las emisiones o una subida de los costes que al final repercutiria al precio de los productos...quizas seria mas efectivo potenciar las alternativas a los combustibles fosiles.,1,1,2,2,2,2,2,1,2,4,1,2,1,1,3,2,2,5,3,1,2,2,5,2,1,2,2,4,2,3,3,5,4,4,4,4,2,4,2,1,2,100,0,0,2,Justicia es que destinen el dinero recaudado al fin que se busca....,30,10,20,1,4,3,4,6,4,4,3,5,4
343096938,350,2,21,2,12,3,bien energia renovable,1,3,3,3,3,3,3,2,3,3,3,3,1,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,80,10,10,3,igualdad y equidad,7,3,50,1,3,3,7,4,5,5,14,3,3
343008183,582,2,22,2,9,5,"Me parece bien, pues renunciar a ciertos privilegios es lo que falta en este pais, que tiene mas miedo al decrecimiento que a la corrupcion.",2,3,3,3,3,3,3,1,4,4,3,3,3,2,4,2,3,4,4,3,3,4,4,4,2,2,3,3,3,3,3,4,4,3,3,3,4,4,4,3,3,70,30,0,3,Que las personas que con su actividad provocan mas emision de carbono contribuyan mas a reducirla que el resto,25,3,40,2,5,4,4,6,5,1,4,2,1
342917623,1711,1,55,6,3,4,no lo se,1,3,3,3,3,3,3,2,3,2,2,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,4,4,4,4,4,40,40,20,4,que se devuelva a quien lo necesite y merezca,60,10,20,2,3,3,4,6,5,6,3,5,3
342970069,1024,1,56,6,14,4,"No lo veo del todo correcto, hay otras muchas cosas que se pueden hacer y no solo pensar en sacarnos el dinero siempre a los mismos.",1,1,1,2,3,3,3,1,2,2,1,2,2,1,3,1,3,4,3,3,3,2,4,2,2,2,3,4,3,3,3,3,4,3,3,3,3,4,3,3,3,100,0,0,2,"que se hiciera lo justo, en el sentido de que todos colaboramos y por tanto habria que ser justo al devolver parte o todo el impuesto.",80,40,50,1,4,5,7,4,5,4,17,5,3
342976321,811,2,50,5,10,5,"Pienso que en principio no estaria mal, tenemos que hacer algo con el planeta. Lo malo es que ya estamos ahogados de impuestos.",1,1,1,3,1,2,3,1,4,3,1,3,2,2,4,2,4,4,4,5,5,4,4,4,5,5,3,4,4,5,5,5,4,5,5,5,4,4,4,5,5,30,30,40,3,Que sea igual de justo para unos que para otros.,30,7,50,1,4,3,4,5,3,3,1,1,1
342968096,721,2,27,3,13,5,Las medidas deberian ser mas duras y no depender del partido politico que gobierne.,2,1,1,2,1,3,3,1,4,5,1,5,3,1,4,2,1,1,1,3,3,4,5,5,3,3,3,5,4,4,4,5,5,5,4,4,4,5,4,4,4,60,30,10,2,igualar las posibilidades de todas las personas,20,5,65,2,1,1,3,6,5,2,1,1,1
343083321,1627,2,33,3,9,4,Lo subiria si proporcionaran ayudas para vehiculos hibridos o electricos,1,1,1,2,1,1,1,2,4,2,1,1,1,2,4,1,3,4,4,4,1,3,4,4,5,4,2,3,3,4,2,1,1,1,1,1,4,4,4,4,4,10,50,40,3,Que no pierdas o te perjudique,5,1,35,1,4,2,3,6,4,3,15,6,4
342925821,916,1,46,5,9,1,Muy bien pero se estan implantando medidas sin pensar el futuro de estas. Y seguramente generando un problema mayor,1,1,3,2,1,2,2,1,2,2,1,1,1,1,2,1,2,4,4,4,4,4,4,4,4,4,3,5,4,4,4,4,4,4,3,4,3,4,4,4,4,80,5,15,1,La justicia es ciega y solo se mueve por los hilos de la politica,15,10,0,2,2,5,4,5,3,11,17,6,2
343156298,1316,1,72,7,5,4,"Creo que deberian buscar otras soluciones, ya pagamos impuestos por todo, desde que sales de tu casa ya pagas impuestos y si te quedas en ella tambien pagas impuestos, mientras vives estas pagando impuestos y cuando te mueres tambien.",1,3,3,3,3,2,2,2,1,1,1,2,1,1,1,1,5,5,3,4,4,5,3,3,5,3,3,3,3,3,3,5,2,3,5,3,5,4,4,5,4,10,50,40,5,"El problema que tenemos en Espa?a es que la justicia esta por los suelos y ya nadie se fia de que se vaya a repartir las cantidades que correspondan, seguro que por el camino se perdera mucho dinero y no se sabra donde ha ido.",12,1,10,1,4,3,3,4,2,7,5,4,4
342928175,592,1,51,5,16,4,"Pues bienvenida sea, pero que se implante con equidad con respecto a todas las clases sociales",1,3,3,3,3,3,3,1,2,1,1,1,1,1,2,1,1,1,1,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,5,5,5,2,3,50,45,5,3,Equiparacion,20,2,0,1,1,2,3,4,2,4,16,3,1
342970930,743,1,46,5,10,2,"EStoy de acuerdo en implantar un impuesto al carbono, siempre y cuando la recaudacion se utilice integramente para politicas de apoyo a la descarbonizacion y la transicion energetica",2,1,2,2,1,2,2,1,4,5,3,2,1,3,4,2,4,5,4,3,3,3,4,4,3,4,3,4,3,4,4,4,3,4,4,4,4,5,5,4,4,70,30,0,3,"Que todas las personas se vean beneficiadas por igual, teniendo en cuenta que la compensacion debe ser mayor a los hogares de bajos ingresos",30,10,40,2,5,3,7,6,5,6,17,6,3
342970909,474,1,41,4,9,3,"Lo interesante es que hicieran como para otras propuestas: ayudas para reciclaje de los articulos contaminantes y obligacion de cambio por unos no contaminantes. Que sea todo electrico seria solucion si para fabricar dichos aparatos o si se generase la cantidad suficiente de energia electrica de forma natural no nuclear. Si ponemos impuestos pero no se dedican a frenar las emisiones no sirve de nada, lo que pasa es que al final siempre pagan los usuarios finales.",1,3,3,3,3,3,3,1,2,3,1,1,1,2,3,1,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,4,4,4,5,4,60,20,20,3,Lo que es justo es poder usar los recursos para ayudar a gente que lo necesita y sancionar a empresas que contaminan el ambiente que es de todos.,50,20,60,2,4,4,7,6,4,11,7,5,4
342969822,617,1,67,7,13,3,no va a solucionar el problema,2,1,1,2,1,2,2,1,2,4,3,2,3,2,4,2,2,5,2,2,2,3,5,3,3,3,3,5,3,3,3,4,5,4,4,4,4,5,4,4,4,100,0,0,1,decidir quien contamina mas,10,5,80,2,5,3,6,6,5,1,4,6,3
342684126,447,2,29,3,1,3,La verdad que no tengo mucha informacion sobre eso,1,1,3,3,3,3,3,1,2,2,1,2,2,2,3,1,4,3,3,4,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,20,40,40,4,Que todos debemos pagar lo mismo,50,5,40,1,2,3,5,6,2,1,4,6,3
342867749,632,2,43,4,10,2,ESTOY TOTALMENTE DE ACUERDO PORQUE HAY MUCHA CONTAMINACION AMBIENTAL,1,3,3,3,3,1,1,1,3,3,1,3,3,3,2,1,4,4,3,5,4,3,3,4,5,5,3,3,3,5,3,4,4,4,5,5,4,4,4,5,5,30,20,50,2,NI IDEA,10,3,50,1,3,3,7,4,3,5,1,6,2
342970910,619,2,62,6,3,4,Los impuestos no sirven hay que obligar a utilizar energias limpias,3,1,1,2,1,2,2,1,2,3,1,3,1,2,2,1,3,5,4,2,4,3,4,4,3,4,3,4,4,4,4,4,5,4,4,4,3,4,4,4,4,100,0,0,1,Ayudar a los mas desfavorecidos,30,2,60,2,5,2,4,6,5,3,1,4,1
342985229,298,2,41,4,7,4,Me parece muy bien para frenar un poco tanta contaminacion.,2,1,2,3,1,2,3,1,4,3,1,4,3,2,4,2,3,4,4,2,5,3,4,4,4,4,2,5,4,4,4,3,3,5,4,5,3,5,4,4,5,75,10,15,3,La justicia no existe en esta vida,50,5,55,1,5,2,4,4,3,6,1,6,2
342890205,1239,1,56,6,15,1,"QUIERO VERLO CLARO, NO QUE VAYA A BOLSILLOS POLITICOS. EL IMPUESTO NO ES LA SOLUCION SIN DAR ALTERNATIVAS CLARAS Y POSITIVAS PARA REDUCIR EL CONSUMO, PAGANDO MAS SEGUIMOS CONTAMINANDO",1,1,2,2,1,3,2,1,2,2,3,1,1,1,3,1,3,5,4,2,3,3,5,4,3,3,3,4,4,3,4,5,5,3,5,3,4,5,4,4,4,70,30,0,3,En este caso no perjudicar con ese impuesto a personas con bajos recursos,100,10,30,1,5,2,4,4,3,6,3,6,3
343084137,514,2,54,5,14,4,totalmente de acuerdo con el impuesto,1,3,3,2,1,3,1,2,4,5,1,4,3,2,5,2,4,4,4,4,4,5,5,5,5,5,3,5,4,5,5,5,3,5,5,5,5,5,5,5,5,30,50,20,4,igualdad para todos,20,3,30,1,5,4,3,6,3,4,3,6,3
342870641,1005,2,42,4,17,4,"Deberian revisar mas cosas, que hay de las nucleares? Que no hay forma de que las erradiquen, y el problemon medioambiental y humano que causan. ?Que hay de la energia solar? Que esta vetadisima. Este impuesto al CO2, sera para todos, o solo para los de a pie que necesitamos de vehiculos para movernos? Habra ayudas para poder coger vehiculos electricos? O solo unos pocos y el resto a pagar?",2,3,3,3,1,2,2,2,3,1,1,1,4,1,1,1,2,4,2,5,4,1,3,1,5,4,1,3,1,5,4,5,5,5,5,5,1,3,1,5,4,25,0,75,3,"Que al final los que ganamos un sueldo, peque?o, nos tratan como a los que ganan mucho, nos dejan sin ayudas, sin bonificaciones. Nos cuesta muchisimo llegar a fin de mes, pero eso les da igual, porque ganamos dinero, aunque sea poco, aunque solo nos sirva para pasar el mes sin poder ahorrar un centimo. Por eso justicia seria pagar a TODAS las familias por igual, por eso justicia seria utilizar el dinero (que los que trabajamos vamos a pagar en impuestos, no los mas necesitados, ellos NO pagan impuestos, porque no trabajan) bien para energias renovables QUE YA LAS HAY DESDE HACE MUCHOS A?OS, pero estan vetadas, pero SOBRETODO devolverlo a TODA familia, ojo, si por mi fuese, familia que haya trabajado, o al menos que genere algun beneficio, hay familias que ninguno trabaja, que vive de las ayudas.",100,50,0,2,3,4,3,5,5,10,5,5,1
342911919,496,2,47,5,17,4,MENOS IMPUESTOS Y MAS MEDIDAS DIRECTAS DE LOS GOBIERNOS,2,1,1,2,1,2,3,2,3,2,3,2,2,1,3,2,3,3,4,4,4,3,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,50,10,40,3,no se no contesto,50,0,0,2,3,2,7,6,4,9,14,2,2
343087010,1126,2,40,4,12,4,"Me parece una iniciativa excelente, siempre y cuando se implanten tambien beneficios y ayudas para el uso de las energias renovables. Y no hablo solamente de las industrias, hablo sobre todo de la poblacion en general, para que tengamos una alternativa limpia, ecologica, economica y sostenible.",1,3,3,2,1,3,3,2,5,5,3,2,1,1,5,2,5,5,5,5,5,3,5,5,3,4,3,5,5,4,5,4,4,4,4,4,5,5,5,5,5,50,35,15,3,"Los hogares de menos recursos serian los mas penalizados por el impuesto, con lo que lo justo en este contexto es que se les devuelva lo que han aportado, y que al mismo tiempo se beneficien de cualquier inversion o adelanto en energias limpias.",60,2,10,2,5,4,3,5,5,3,4,3,1
342971070,540,2,46,5,7,1,"Me parece razonable, sobre todo en las grandes urbes, que creo que son los grandes focos de emisiones de CO2",2,3,1,2,1,2,2,1,5,5,1,3,1,1,5,2,3,5,5,1,5,5,5,5,1,5,5,3,3,1,5,5,3,3,1,5,5,5,4,1,4,40,50,10,3,El reparto equitativo de los impuestos derivados de la contaminacion,50,5,40,1,5,2,7,6,5,1,4,6,2
342980152,1015,2,27,3,13,3,"Me parece correcta toda medida encaminada a mejorar la salud ambiental y de las personas y si para ello hay que implantar un impuesto al uso de combustibles fosiles, adelante, pero deben tambien mejorarse la flota, las frecuencias y el alcance del transporte publico, algo que deberia hacerse antes de implantar el impuesto.",2,1,2,2,3,2,3,1,3,5,3,3,2,1,5,2,3,4,5,1,2,3,4,5,2,3,3,5,4,3,4,3,4,5,3,4,3,4,5,1,4,60,40,0,3,"Minimizar la parte negativa del impacto de esta medida a los colectivos que tengan mas dificil realizar los cambios necesarios para disminuir sus emisiones de carbono. Es decir, equilibrar todo lo posible el efecto que tendra la medida sobre toda la poblacion.",10,4,45,2,5,2,4,6,5,1,4,2,1
343051495,1425,2,23,2,10,5,"Me parece una buena medida siempre y cuando los que paguen ese impuesto sean las empresas que comercializan con los combustibles fosiles y no los clientes finales, aunque lo vean reflejado en los precios de consumo.",2,1,3,2,3,2,2,1,4,4,1,2,1,1,5,2,4,5,5,4,5,4,5,4,4,5,4,5,4,4,4,5,5,4,4,4,5,5,4,4,4,45,25,30,3,Que la gente que ha gastado dinero en cosas que usan este tipo de energias por ser mas baratas son las mismas que no tienen muchos recursos no mucho conocimiento del tema,5,3,60,2,4,3,2,6,5,11,14,3,3
342878365,630,2,24,2,8,1,"Cualquiera que se tome a risa el tema de la contaminacion es un ignorante. Reducir las emisiones es necesario si no queremos morirnos todos por respirar contaminacion constantemente. Eso si, las multas que salgan del bolsillo de los politicos incompetentes que no mueven un dedo por la salud de la poblacion y de nuestro planeta.",2,2,3,3,1,2,3,1,4,5,1,4,3,2,5,2,2,5,4,1,4,3,5,4,2,4,5,4,5,4,4,5,4,5,4,4,4,5,4,4,4,80,20,0,2,Compensar a los desfavorecidos que son los que menos contaminan y mas afectados en su salud se ven por la contaminacion.,10,3,60,2,5,4,3,6,5,3,4,1,1
342974001,785,1,51,5,13,5,me parece muy bien para que vayan disminuyendo las emisiones de las empresas,2,1,1,2,1,2,2,2,4,4,1,4,4,3,4,2,4,4,3,3,5,4,5,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,60,30,10,3,todos participamos pero las enpresas en mayor manera,30,10,80,2,4,3,3,4,3,3,1,3,2
